Wavelength (nm),PTB7_n,PTB7_k
350,1.52113,0.25867
351,1.52352,0.25998
352,1.52592,0.26129
353,1.52831,0.2626
354,1.5307,0.26391
355,1.53309,0.26522
356,1.53548,0.26653
357,1.53787,0.26784
358,1.54026,0.26915
359,1.54266,0.27045
360,1.54505,0.27176
361,1.54744,0.27307
362,1.54983,0.27438
363,1.55222,0.27569
364,1.55461,0.277
365,1.557,0.27831
366,1.5594,0.27962
367,1.56179,0.28093
368,1.56418,0.28224
369,1.56657,0.28355
370,1.56896,0.28486
371,1.57135,0.28617
372,1.57374,0.28748
373,1.57614,0.28879
374,1.57853,0.2901
375,1.58092,0.29141
376,1.58331,0.29272
377,1.5857,0.29403
378,1.58809,0.29533
379,1.59048,0.29664
380,1.59288,0.29795
381,1.59527,0.29926
382,1.59766,0.30057
383,1.60005,0.30188
384,1.60244,0.30319
385,1.60483,0.3045
386,1.60722,0.30581
387,1.60962,0.30712
388,1.61201,0.30843
389,1.6144,0.30974
390,1.61679,0.31105
391,1.61918,0.31236
392,1.62157,0.31367
393,1.62396,0.31498
394,1.62636,0.31629
395,1.62875,0.3176
396,1.63114,0.31891
397,1.63353,0.32021
398,1.63592,0.32152
399,1.63831,0.32283
400,1.6407,0.32414
401,1.6431,0.32545
402,1.64549,0.32676
403,1.64788,0.32807
404,1.65027,0.32938
405,1.65266,0.33069
406,1.65505,0.332
407,1.65744,0.33331
408,1.65984,0.33462
409,1.66223,0.33593
410,1.66462,0.33724
411,1.66701,0.33855
412,1.6694,0.33986
413,1.67179,0.34117
414,1.67418,0.34248
415,1.67658,0.34379
416,1.67897,0.34509
417,1.68136,0.3464
418,1.68375,0.34771
419,1.68614,0.34902
420,1.68853,0.35033
421,1.69092,0.35164
422,1.69331,0.35295
423,1.69571,0.35426
424,1.6981,0.35557
425,1.70049,0.35688
426,1.70288,0.35819
427,1.70527,0.3595
428,1.70766,0.36081
429,1.71005,0.36212
430,1.71245,0.36343
431,1.71484,0.36474
432,1.71723,0.36605
433,1.71962,0.36736
434,1.72201,0.36867
435,1.7244,0.36998
436,1.72679,0.37128
437,1.72919,0.37259
438,1.73158,0.3739
439,1.73397,0.37521
440,1.73636,0.37652
441,1.73875,0.37783
442,1.74114,0.37914
443,1.74353,0.37879
444,1.74593,0.38034
445,1.73847,0.38187
446,1.74212,0.38336
447,1.74571,0.38483
448,1.74926,0.38627
449,1.75276,0.38769
450,1.75621,0.38908
451,1.75962,0.39044
452,1.76298,0.39178
453,1.76629,0.3931
454,1.76955,0.39439
455,1.77277,0.39565
456,1.77595,0.39689
457,1.77908,0.39811
458,1.78217,0.39931
459,1.78522,0.40048
460,1.78822,0.40163
461,1.79118,0.40275
462,1.7941,0.40386
463,1.79698,0.40494
464,1.79982,0.406
465,1.80262,0.40705
466,1.80538,0.40807
467,1.8081,0.40907
468,1.81078,0.41005
469,1.81343,0.41101
470,1.81604,0.41195
471,1.81861,0.41288
472,1.82115,0.41378
473,1.82365,0.41467
474,1.82612,0.41554
475,1.82855,0.41639
476,1.83095,0.41723
477,1.83331,0.41804
478,1.83564,0.41885
479,1.83794,0.41963
480,1.84021,0.4204
481,1.84245,0.42116
482,1.84466,0.4219
483,1.84683,0.42262
484,1.84898,0.42334
485,1.8511,0.42403
486,1.85319,0.42472
487,1.85525,0.42539
488,1.85729,0.42605
489,1.8593,0.42669
490,1.86128,0.42732
491,1.86324,0.42794
492,1.86517,0.42855
493,1.86708,0.42915
494,1.86896,0.42974
495,1.87082,0.43032
496,1.87266,0.43089
497,1.87447,0.43144
498,1.87626,0.43199
499,1.87803,0.43253
500,1.87978,0.43306
501,1.88151,0.43358
502,1.88322,0.4341
503,1.88491,0.4346
504,1.88659,0.4351
505,1.88824,0.43559
506,1.88988,0.43608
507,1.8915,0.43656
508,1.8931,0.43703
509,1.89469,0.4375
510,1.89626,0.43796
511,1.89782,0.43842
512,1.89936,0.43887
513,1.90089,0.43932
514,1.90241,0.43977
515,1.90391,0.44021
516,1.9054,0.44065
517,1.90688,0.44108
518,1.90835,0.44151
519,1.90981,0.44194
520,1.91126,0.44237
521,1.9127,0.4428
522,1.91412,0.44323
523,1.91555,0.44365
524,1.91696,0.44408
525,1.91837,0.4445
526,1.91977,0.44493
527,1.92116,0.44535
528,1.92255,0.44578
529,1.92393,0.44621
530,1.92531,0.44664
531,1.92668,0.44707
532,1.92805,0.4475
533,1.92942,0.44794
534,1.93079,0.44838
535,1.93215,0.44882
536,1.93351,0.44927
537,1.93487,0.44972
538,1.93623,0.45018
539,1.9376,0.45064
540,1.93896,0.4511
541,1.94032,0.45157
542,1.94169,0.45205
543,1.94306,0.45253
544,1.94443,0.45302
545,1.9458,0.45352
546,1.94718,0.45402
547,1.94856,0.45453
548,1.94995,0.45505
549,1.95135,0.45558
550,1.95275,0.45612
551,1.95416,0.45666
552,1.95557,0.45721
553,1.95699,0.45778
554,1.95842,0.45835
555,1.95986,0.45894
556,1.96131,0.45953
557,1.96277,0.46014
558,1.96424,0.46075
559,1.96572,0.46138
560,1.96722,0.46202
561,1.96872,0.46267
562,1.97024,0.46334
563,1.97177,0.46402
564,1.97332,0.46471
565,1.97487,0.46542
566,1.97645,0.46614
567,1.97804,0.46687
568,1.97964,0.46762
569,1.98127,0.46839
570,1.98291,0.46917
571,1.98456,0.46996
572,1.98624,0.47077
573,1.98793,0.4716
574,1.98964,0.47245
575,1.99138,0.47331
576,1.99313,0.47419
577,1.9949,0.47509
578,1.9967,0.47601
579,1.99852,0.47694
580,2.00036,0.4779
581,2.00222,0.47887
582,2.0041,0.47986
583,2.00601,0.48088
584,2.00795,0.48191
585,2.00991,0.48296
586,2.0119,0.48404
587,2.01391,0.48514
588,2.01595,0.48625
589,2.01801,0.4874
590,2.02011,0.48856
591,2.02223,0.48974
592,2.02438,0.49095
593,2.02656,0.49218
594,2.02877,0.49344
595,2.03101,0.49472
596,2.03329,0.49603
597,2.03559,0.49736
598,2.03793,0.49871
599,2.0403,0.50009
600,2.0427,0.5015
601,2.04514,0.50293
602,2.04761,0.50439
603,2.05011,0.50587
604,2.05266,0.50739
605,2.05523,0.50893
606,2.05785,0.5105
607,2.0605,0.51209
608,2.06319,0.51372
609,2.06591,0.51537
610,2.06868,0.51706
611,2.07148,0.51877
612,2.07433,0.52052
613,2.07721,0.52229
614,2.08014,0.5241
615,2.08311,0.52593
616,2.08611,0.5278
617,2.08917,0.5297
618,2.09226,0.53163
619,2.0954,0.53358
620,2.09858,0.53557
621,2.10181,0.53757
622,2.10508,0.5396
623,2.1084,0.54165
624,2.11176,0.54372
625,2.11517,0.54581
626,2.11863,0.54791
627,2.12214,0.55003
628,2.12569,0.55215
629,2.12929,0.55429
630,2.13295,0.55643
631,2.13665,0.55858
632,2.1404,0.56074
633,2.14421,0.5629
634,2.14806,0.56505
635,2.15197,0.56721
636,2.15593,0.56936
637,2.15995,0.57151
638,2.16402,0.57365
639,2.16814,0.57579
640,2.17232,0.57791
641,2.17655,0.58002
642,2.18084,0.58212
643,2.18519,0.5842
644,2.18959,0.58626
645,2.19405,0.58831
646,2.19857,0.59033
647,2.20315,0.59233
648,2.20778,0.5943
649,2.21248,0.59625
650,2.21724,0.59817
651,2.22206,0.60006
652,2.22693,0.60192
653,2.23188,0.60374
654,2.23688,0.60552
655,2.24195,0.60727
656,2.24708,0.60898
657,2.25228,0.61065
658,2.25754,0.61227
659,2.26288,0.61385
660,2.26828,0.61539
661,2.27376,0.61687
662,2.27931,0.6183
663,2.28494,0.61969
664,2.29064,0.62101
665,2.29643,0.62228
666,2.30229,0.62349
667,2.30823,0.62464
668,2.31425,0.62571
669,2.32036,0.62671
670,2.32656,0.62763
671,2.33284,0.62846
672,2.33921,0.62921
673,2.34567,0.62985
674,2.35222,0.6304
675,2.35886,0.63084
676,2.3656,0.63116
677,2.37243,0.63138
678,2.37936,0.63147
679,2.38639,0.63143
680,2.39352,0.63126
681,2.40075,0.63095
682,2.40809,0.6305
683,2.41553,0.62991
684,2.42307,0.62916
685,2.43072,0.62826
686,2.43849,0.62719
687,2.44636,0.62595
688,2.45434,0.62455
689,2.46244,0.62296
690,2.47065,0.62119
691,2.47898,0.61923
692,2.48742,0.61708
693,2.49599,0.61473
694,2.50467,0.61218
695,2.51348,0.60942
696,2.52241,0.60644
697,2.53147,0.60325
698,2.54066,0.59983
699,2.54997,0.5962
700,2.55941,0.59234
701,2.56898,0.58825
702,2.57868,0.58395
703,2.58851,0.57942
704,2.59845,0.57468
705,2.60846,0.56971
706,2.61853,0.56451
707,2.62865,0.5591
708,2.63878,0.55346
709,2.6489,0.54761
710,2.659,0.54153
711,2.66905,0.53522
712,2.67903,0.5287
713,2.68892,0.52195
714,2.6987,0.51499
715,2.70834,0.5078
716,2.71783,0.50038
717,2.72714,0.49275
718,2.73624,0.48489
719,2.74513,0.47681
720,2.75377,0.46851
721,2.76215,0.45999
722,2.77024,0.45125
723,2.77802,0.44228
724,2.78548,0.43309
725,2.79258,0.42368
726,2.79931,0.41405
727,2.80564,0.40419
728,2.81156,0.39412
729,2.81704,0.38382
730,2.82206,0.37331
731,2.82659,0.36258
732,2.83063,0.35165
733,2.83414,0.3405
734,2.83713,0.32915
735,2.83963,0.31759
736,2.84165,0.30583
737,2.84322,0.29387
738,2.84436,0.28172
739,2.84509,0.26937
740,2.84543,0.25683
741,2.8454,0.24409
742,2.84503,0.23118
743,2.84433,0.21808
744,2.84333,0.20479
745,2.84205,0.19133
746,2.8405,0.17769
747,2.83872,0.16388
748,2.83672,0.14989
749,2.83451,0.13574
750,2.8321,0.12141
751,2.8295,0.10693
752,2.82671,0.09228
753,2.82375,0.07747
754,2.82061,0.06251
755,2.8173,0.04739
756,2.81384,0.03211
757,2.81023,0.03769
758,2.80647,0.02668
759,2.80257,0.01568
760,2.79855,0
761,2.7944,0
762,2.79014,0
763,2.78577,0
764,2.78129,0
765,2.77672,0
766,2.77207,0
767,2.76733,0
768,2.76252,0
769,2.75764,0
770,2.7527,0
771,2.74771,0
772,2.74268,0
773,2.7376,0
774,2.7325,0
775,2.72737,0
776,2.72222,0
777,2.71707,0
778,2.71191,0
779,2.70675,0
780,2.70161,0
781,2.69648,0
782,2.69137,0
783,2.6863,0
784,2.68127,0
785,2.67629,0
786,2.67135,0
787,2.66648,0
788,2.66168,0
789,2.65694,0
790,2.65229,0
791,2.64773,0
792,2.64326,0
793,2.63887,0
794,2.63457,0
795,2.63035,0
796,2.62621,0
797,2.62214,0
798,2.61815,0
799,2.61423,0
800,2.61037,0
801,2.60658,0
802,2.60285,0
803,2.59918,0
804,2.59557,0
805,2.59201,0
806,2.58849,0
807,2.58503,0
808,2.58161,0
809,2.57823,0
810,2.5749,0
811,2.57159,0
812,2.56833,0
813,2.56509,0
814,2.56188,0
815,2.55869,0
816,2.55553,0
817,2.55239,0
818,2.54926,0
819,2.54615,0
820,2.54305,0
821,2.53995,0
822,2.53686,0
823,2.53378,0
824,2.53069,0
825,2.5276,0
826,2.5245,0
827,2.5214,0
828,2.51828,0
829,2.51515,0
830,2.512,0
831,2.50883,0
832,2.50564,0
833,2.50328,0
834,2.50048,0
835,2.49769,0
836,2.4949,0
837,2.49211,0
838,2.48932,0
839,2.48653,0
840,2.48373,0
841,2.48094,0
842,2.47815,0
843,2.47536,0
844,2.47257,0
845,2.46978,0
846,2.46698,0
847,2.46419,0
848,2.4614,0
849,2.45861,0
850,2.45582,0
